0,1,2,3,4
서울,강남구,신입·경력,초대졸↑,정규직
서울,강남구,신입·경력,대졸↑,정규직·계약직
서울,강남구,신입·경력,초대졸↑,정규직
부산,강서구,신입·경력,고졸↑,정규직
서울,강서구,경력무관,대졸↑,정규직
서울,영등포구,경력무관,대졸↑,정규직·계약직
서울,서초구,경력무관,대졸↑,정규직
서울,은평구,신입·경력,초대졸↑,정규직
서울,마포구,신입·경력,초대졸↑,정규직
서울,용산구,신입·경력,대졸↑,정규직·계약직
서울,금천구,신입·경력,학력무관,정규직
서울,구로구,신입·경력,초대졸↑,정규직
서울,서초구,신입·경력,초대졸↑,정규직
서울,금천구,경력무관,대졸↑,정규직
서울,송파구,경력무관,초대졸↑,정규직
부산,해운대구,신입·경력,대졸↑,정규직
경기,광명시,경력3년↑,대졸↑,정규직·계약직
서울,구로구,신입·경력,학력무관,정규직
서울,서초구,경력무관,학력무관,정규직
서울,강서구,신입·경력,초대졸↑,정규직
서울,금천구,신입·경력,초대졸↑,정규직
서울,영등포구,경력무관,대졸↑,정규직
서울,영등포구,신입,학력무관,정규직
경남,통영시,신입·경력,초대졸↑,정규직
대구,달성군,경력무관,대졸↑,정규직
충남,아산시,신입·경력,대졸↑,정규직
서울,마포구,신입·경력,초대졸↑,정규직·계약직
서울,구로구,신입·경력,고졸↑,정규직
충남,아산시,신입·경력,고졸↑,정규직
부산,해운대구,경력,학력무관,정규직
서울,중구,경력무관,학력무관,정규직
강원,춘천시,경력무관,학력무관,정규직
서울,강남구,경력무관,대졸↑,정규직
서울,강남구,경력무관,초대졸↑,정규직
서울,금천구,신입·경력,대졸↑,정규직
경북,구미시,신입,대졸↑,정규직
서울,서초구,경력무관,대졸↑,정규직
서울,서초구,신입,학력무관,정규직
서울,영등포구,경력무관,대졸↑,정규직
인천,연수구,신입·경력,대졸↑,정규직
대전,대덕구,신입·경력,학력무관,정규직
서울,중구,경력무관,학력무관,계약직
대구,수성구,신입·경력,학력무관,정규직
서울,강남구,신입·경력,초대졸↑,정규직
서울,영등포구,신입·경력,초대졸↑,정규직
서울,서대문구,신입·경력,대졸↑,정규직
서울,구로구,경력무관,고졸↑,정규직
서울,강남구,신입,대졸↑,정규직·계약직
서울,강남구,신입,학력무관,정규직
서울,강서구,신입·경력,대졸↑,정규직
서울,구로구,신입·경력,초대졸↑,정규직
서울,금천구,경력무관,학력무관,정규직
서울,서초구,경력무관,대졸↑,정규직
서울,마포구,신입·경력,초대졸↑,정규직
서울,금천구,신입·경력,대졸↑,정규직
경기,의왕시,경력,학력무관,정규직
서울,마포구,경력,대졸↑,정규직
서울,강남구,경력무관,학력무관,정규직
서울,금천구,신입,학력무관,정규직
서울,마포구,경력무관,대졸↑,정규직
서울,송파구,신입,고졸↑,정규직
서울,구로구,신입,학력무관,정규직
서울,마포구,신입·경력,초대졸↑,정규직
서울,금천구,경력무관,대졸↑,정규직
충북,충주시,경력무관,고졸↑,정규직
부산,남구,경력무관,대졸↑,정규직
서울,강남구,신입·경력,초대졸↑,정규직
서울,송파구,경력무관,초대졸↑,정규직
서울,성동구,경력무관,학력무관,정규직
경남,거제시,경력무관,초대졸↑,정규직
서울,강남구,경력무관,초대졸↑,정규직
서울,강남구,신입·경력,학력무관,정규직
서울,강서구,신입·경력,초대졸↑,정규직
서울,강동구,경력무관,학력무관,정규직
서울,서대문구,경력3년↑,대졸↑,정규직
서울,강남구,신입·경력,고졸↑,정규직·계약직
경기,화성시,경력5년↑,대졸↑,정규직
경기,화성시,경력10년↑,대졸↑,정규직
울산,남구,경력무관,학력무관,정규직·계약직
서울,서초구,경력무관,대졸↑,정규직
서울,중구,경력,학력무관,정규직
서울,성동구,신입·경력,학력무관,정규직
서울,양천구,경력무관,학력무관,정규직
부산,연제구,신입·경력,대졸↑,정규직
서울,강남구,경력무관,초대졸↑,정규직
중국.홍콩,섬서성,신입·경력,대졸↑,정규직
서울,강남구,경력2년↑,학력무관,정규직
서울,강남구,경력무관,대졸↑,정규직
서울,강서구,신입·경력,학력무관,정규직
서울,금천구,경력무관,학력무관,정규직
울산,울주군,신입·경력,학력무관,정규직
서울,강남구,경력무관,학력무관,정규직
서울,강남구,경력무관,대졸↑,정규직
서울,금천구,경력무관,학력무관,정규직
부산,해운대구,신입·경력,학력무관,정규직
서울,서초구,신입·경력,초대졸↑,정규직
서울,성동구,경력무관,학력무관,계약직
인천,연수구,신입·경력,학력무관,정규직
서울,강남구,신입·경력,초대졸↑,정규직
대구,동구,경력2년↑,대졸↑,정규직
대구,수성구,신입·경력,대졸↑,정규직
서울,강서구,경력1년↑,고졸↑,정규직·계약직
