기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2019,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.70000000000005,0,0,0,93.60500300000004,0,580.705003
2019,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.22999999999999,0,0,306.044835,2.98,14002.001834999997
2019,합계,합계,합계,광주,0,0,0,0,0,0,115.24600000000001,0,0,0,176.10452800000007,1.26,292.61052800000004
2019,합계,합계,합계,대전,0,0,0,88,48.3,0,0,0,0,0,32.56375600000002,4,172.86375600000002
2019,합계,합계,합계,울산,2800,0,0,1200,0,0,2514.7,0,0,0,48.30521200000001,18.2,6581.205212
2019,합계,합계,합계,경기,0,246.85500000000002,0,1443.2,60,0,16120.167000000001,0.44999999999999996,0,400,1455.3159159999873,52.053999999999995,19778.041915999987
2019,합계,합계,합계,강원,0,3234,600,0,0,0,1279.2,0,0,1000,1854.2200939999943,13.888,7981.308093999994
2019,합계,합계,합계,충북,0,0,0,58.3,0,0,0,0,0,0,1105.6824529999856,50.806999999999995,1214.7894529999855
2019,합계,합계,합계,충남,0,18178.058,0,0,0,465.8,3713.45,4.07,0,0,2016.3390630000479,809.2800000000001,25186.99706300005
2019,합계,합계,합계,전북,0,695.3689999999999,0,0,0,0,718.4000000000001,7.000000000000002,0,600,2102.1685579999325,70.295,4193.232557999932
2019,합계,합계,합계,전남,5900,1481.1,0,0,0,0,2378.9,21.689999999999984,0,0,2516.205376999964,53.46999999999999,12351.365376999964
2019,합계,합계,합계,경북,10000,144.5,0,11.6,0,0,361.6,18.5,0,1400,1920.143142000032,38.935,13895.278142000034
2019,합계,합계,합계,경남,0,7240,0,26.3,0,0,0,0.85,0,1300,945.5540449999901,7.623,9520.32704499999
2019,합계,합계,합계,제주,0,0,0,0,0,93.72300000000001,219.367,251.827,0,0,933.2256579999998,0,1498.142658
2019,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,48.356155000000015,3.25,582.047155
2019,합계,합계,합계,소계,23250,36391.782,600,2870.9,196.3,559.523,39459.09999999999,340.61699999999996,0,4700,15791.053338002277,1178.3919999999996,125337.66733800224
2018,합계,합계,합계,서울,0,0,0,0,64,0,0,0,0,0,100.887671,0,164.887671
2018,합계,합계,합계,부산,4550,19,0,0,0,0,1845.836,0,0,0,171.942791,0,6586.778791
2018,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.7,0,0,0,71.299397,0,558.3993969999999
2018,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.23,0,0,245.753296,0,13938.730295999998
2018,합계,합계,합계,광주,0,0,0,0,0,0,115.246,0,0,0,131.043385,0,246.28938499999998
2018,합계,합계,합계,대전,0,0,0,88,48.3,0,0,0,0,0,29.604739,0,165.904739
2018,합계,합계,합계,울산,1400,0,0,1200,0,0,2514.7,0,0,0,39.223051999999996,16.4,5170.323052
2018,합계,합계,합계,경기,0,246.855,0,1443.2,60,0,15256.867,0.45,0,400,1188.0645550000002,0,18595.436554999997
2018,합계,합계,합계,강원,0,3234,600,0,0,0,1279.2,0,0,1000,1584.363874,0,7697.5638739999995
2018,합계,합계,합계,충북,0,0,0,58.3,0,0,0,0,0,0,932.00895,0,990.30895
2018,합계,합계,합계,충남,0,18085.013,0,0,0,465.8,3713.45,3.77,0,0,2219.6409169999997,0,24487.673917
2018,합계,합계,합계,전북,0,695.369,0,0,0,0,718.4,6.83,0,600,1465.5542380000002,60,3546.153238
2018,합계,합계,합계,전남,5900,1481.1,0,0,0,0,2378.9,21.65,0,0,2257.276744,0,12038.926744
2018,합계,합계,합계,경북,10000,144.5,0,11.6,0,0,361.6,18.5,0,1400,1763.8187770000002,0,13700.018777000001
2018,합계,합계,합계,경남,0,7240,0,26.3,0,0,0,0.85,0,1300,714.2696530000001,0.3,9281.719653
2018,합계,합계,합계,제주,0,0,0,350,0,292.446,0,251.19,0,0,456.77160299999997,0,1350.407603
2018,합계,합계,합계,세종,0,0,0,0,0,0,530.441,0,0,0,41.695026,0,572.136026
2018,합계,합계,합계,소계,21850,36298.737,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,13413.218668,76.7,119091.658668
2017,합계,합계,합계,서울,0,0,0,0,64,0,0,0,0,0,97.483756,0,161.483756
2017,합계,합계,합계,부산,4550,19,0,0,0,0,1845.836,0,0,0,155.61307699999998,0,6570.449077
2017,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.7,0,0,0,59.493627000000004,0,546.593627
2017,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,36.23,0,0,196.04434899999998,1.72,13890.741348999998
2017,합계,합계,합계,광주,0,0,0,0,0,0,115.246,0,0,0,97.21391299999999,0,212.459913
2017,합계,합계,합계,대전,0,0,0,88,48.3,0,0,0,0,0,20.428618,0,156.728618
2017,합계,합계,합계,울산,1400,0,0,1200,0,0,2514.7,0,0,0,30.539332,16.4,5161.639332
2017,합계,합계,합계,경기,0,76.955,0,1443.2,60,0,15255.177,0.45,0,400,930.831372,0,18166.613372
2017,합계,합계,합계,강원,0,3234,600,0,0,0,1279.2,0,0,1000,1291.901675,0,7405.101675
2017,합계,합계,합계,충북,0,0,0,61.4,0,0,0,0,0,0,809.383058,0,870.783058
2017,합계,합계,합계,충남,0,17991.978,0,0,0,465.8,3713.45,3.77,0,0,1977.991368,0,24152.989368
2017,합계,합계,합계,전북,0,757.369,0,0,0,0,718.4,6.83,0,600,1074.902901,0,3157.501901
2017,합계,합계,합계,전남,5900,1481.1,0,0,0,0,2378.9,21.65,0,0,1805.6717330000001,0,11587.321733
