"광주광역시","농축산물경영형태별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"광주광역시","전겸업별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"광주광역시","농축산물판매금액별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"광주광역시","경영주성별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"광주광역시","경영주연령별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"광주광역시","경영주농사경력기간별",16676,66,16610,158,4856,2961,3818,1645,1270,817,408,177,109,143,52,38,45,48,65,10255,339
"대전광역시","계",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","경작하지 않은 면적규모별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","농축산물경영형태별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","전겸업별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","농축산물판매금액별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","경영주성별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","경영주연령별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"대전광역시","경영주농사경력기간별",13491,53,13438,109,4948,2470,3016,1232,828,396,186,51,46,72,33,10,12,20,9,5859,269
"울산광역시","계",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","경작하지 않은 면적규모별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","농축산물경영형태별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","전겸업별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","농축산물판매금액별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","경영주성별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","경영주연령별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"울산광역시","경영주농사경력기간별",15284,106,15178,240,5669,2776,3225,1225,886,520,260,80,91,82,41,20,30,19,14,7010,269
"세종특별자치시","계",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","경작하지 않은 면적규모별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","농축산물경영형태별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","전겸업별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","농축산물판매금액별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","경영주성별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","경영주연령별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"세종특별자치시","경영주농사경력기간별",7163,89,7074,84,1560,996,1460,896,732,544,277,146,83,104,55,41,22,47,27,5718,69
"경기도","계",120979,1453,119526,1294,27948,15728,24625,12859,11585,9252,5215,2627,1953,2441,1187,652,594,776,790,109110,1854
"경기도","경작하지 않은 면적규모별",120979,1453,119526,1294,27948,15728,24625,12859,11585,9252,5215,2627,1953,2441,1187,652,594,776,790,109110,1854
"경기도","농축산물경영형태별",120979,1453,119526,1294,27948,15728,24625,12859,11585,9252,5215,2627,1953,2441,1187,652,594,776,790,109110,1854
